"","logFC","logCPM","PValue","FDR"
"YER081W",-3.49030391382969,9.20706772263123,1.49954575724748e-289,8.87281224563336e-286
"YGR234W",3.98829627816607,8.24664553790742,1.96666260180581e-273,5.81837130744249e-270
"YHR215W",4.84100741761382,7.79560321084822,4.06143900297015e-247,7.48680115375998e-244
"YML123C",4.33639147848472,9.0687483192941,5.06121423272603e-247,7.48680115375998e-244
"YOR290C",7.64740692846101,6.20725097639559,1.66975840780216e-223,1.97599209979307e-220
"YER011W",3.77623291563328,7.23820800380332,4.72129360130645e-221,4.65598237315505e-218
"YDR077W",3.0781706722157,11.4178417735141,8.75065819271902e-190,7.39680636090264e-187
"YDR033W",3.29236955575455,8.67942630343309,1.26616005331783e-170,9.364836294352e-168
"YER138C",2.28826457141537,9.87651966222778,2.03964463030352e-146,1.34095303083399e-143
"YHR136C",4.12949529717897,5.40717544512068,1.50024667441482e-122,8.87695957251249e-120
"YOR153W",2.34453973895148,9.5395636029857,1.91993393519173e-120,1.0327499176845e-117
"YAR009C",2.971279608778,9.27469529045019,2.04198965128146e-116,1.00687106388604e-113
"YOL109W",2.14058001184499,8.0594002153293,6.89419231826582e-113,3.13791814978299e-110
"YBR067C",2.53477543972918,8.65404074836536,1.66222947695346e-108,7.02529415366688e-106
"YIL169C",2.68066220757655,7.57109386401245,2.55645269527888e-106,1.00843537319767e-103
"YIL121W",2.50965861129589,6.45623814158961,3.03250887065946e-96,1.12145968673075e-93
"YPR149W",1.72840234096163,8.16258963218375,4.9440490685444e-95,1.72081990226925e-92
"YDR365W-B",2.1753268532806,10.329202317634,3.49895991440726e-93,1.15018587853043e-90
"YBR092C",2.62181710794919,7.03433536388736,6.39919834092198e-80,1.99284508332818e-77
"YLR413W",2.05887668678588,7.98734901722782,4.66768508429136e-79,1.3809346321876e-76
"YPL019C",1.93849550919634,7.65009439391927,4.06892797697387e-77,1.14646889713116e-74
"YBR093C",1.66056606614475,7.0267303183115,2.49953045807807e-73,6.72260078202179e-71
