"","logFC","logCPM","PValue","FDR"
"YER081W",-3.43546676132347,9.20911959475598,1.62831729913896e-259,9.63475345900522e-256
"YGR234W",3.9953671533639,8.25731959465498,3.1832722378777e-257,9.41771091576117e-254
"YHR215W",4.73824154308804,7.70054006641436,4.47471768995542e-211,8.8256348571554e-208
"YER011W",3.82799627702212,7.29326393228178,7.34769976266979e-193,1.08690848739293e-189
"YOR290C",7.71860670726831,6.29197470756226,1.33311142798774e-184,1.57760406388069e-181
"YML123C",4.27887957625116,9.0170750900445,2.13861578297613e-180,2.10903159797829e-177
"YAR009C",2.79405541623634,9.11912449487861,6.94330010166665e-152,5.86907238593736e-149
"YDR033W",3.36467437357612,8.74881374032261,1.21003758936679e-138,8.94974052035416e-136
"YDR365W-B",1.95961431577055,10.1557593706916,2.11293093921085e-125,1.38913470747895e-122
"YDR077W",2.99193854563814,11.3416157973754,1.1258649780997e-111,6.66174307541591e-109
"YFR015C",2.59901125417497,9.2042657340012,5.69041168870517e-102,3.06092417836986e-99
"YHR136C",4.11637573125659,5.39922111436556,1.37755653595688e-98,6.7925016860474e-96
"YER067W",2.0157088683772,8.79573554098789,1.69178622872903e-95,7.70023008876127e-93
"YPR149W",1.81159231191614,8.22891097348872,4.22175982572306e-92,1.78429663491453e-89
"YBR067C",2.58283526461604,8.69756394145674,2.5558432892993e-91,1.00819498285227e-88
"YIL121W",2.53510890477366,6.48350643846053,6.79001859527774e-88,2.51103375176615e-85
"YBR092C",2.59924445884341,7.0186098071549,3.96561838258108e-78,1.38026846880778e-75
"YIL169C",2.62544911600442,7.52880990268173,3.99950916641797e-77,1.31472754098306e-74
"YER138C",2.22526620313066,9.82576964247196,4.10391964786634e-73,1.27804697665395e-70
"YOR153W",2.51947478422869,9.68876939375155,1.09923399401916e-72,3.25208377130568e-70
"YOL109W",2.4290789098351,8.30534480574007,3.99056827563396e-70,1.12439011842505e-67
"YHR092C",1.93816223032406,9.7629356216933,3.50922169869556e-64,9.43821126871892e-62
"YKL062W",1.7383624914453,7.02749178412299,4.46279991907981e-63,1.14810378787805e-60
"YBR093C",1.63275852197205,7.01020180091243,8.07124924729996e-63,1.98989924151141e-60
"YPL019C",2.13751514764594,7.81259583814916,1.77147265196877e-56,4.19272147267968e-54
"YDR406W",1.50808528197065,7.34549963913009,9.72291824091585e-55,2.21271181659612e-52
"YHL047C",1.57997128004899,7.57865109516326,6.64387626327385e-54,1.4559931796219e-51
"YJL077C",-2.30043310619009,5.65713524789579,6.44208916420911e-51,1.36135148516519e-48
"YJR029W",2.73325540620902,9.14511512234089,1.77834420920646e-50,3.62843540892228e-48
"YDR342C",2.74511192206057,10.8020773338425,5.71188413221463e-50,1.12657394701046e-47
"YLR413W",2.2882130664378,8.17837058626373,4.77147456665123e-48,9.10735968092753e-46
"YOR348C",-2.53142822882233,5.24376464992735,1.96297646810019e-47,3.6296661755465e-45
"YEL040W",1.23207178577388,8.83871979125934,7.32542892731551e-47,1.31347160493715e-44
"YJL012C",1.24466901946294,8.11342020281755,2.55936269473168e-45,4.45404384256687e-43
"YMR056C",-1.9863218017651,6.04450767494867,5.48107700706333e-45,9.26615218594107e-43
"YKR039W",-2.071571310869,7.05286154337456,1.16045409160774e-44,1.90733523890083e-42
"YFR055W",1.64074444357183,6.86823085342058,2.81848560231224e-44,4.46836666008395e-42
"YBL005W-A",-8.31637161400329,4.1964699663558,2.86966254999476e-44,4.46836666008395e-42
"YLR350W",-1.05472226091958,8.90235251828542,2.29309466706193e-41,3.47903619102704e-39
"YER001W",1.97704112090228,6.08965083069707,1.5557119580548e-40,2.30128691395256e-38
"YDR055W",1.54066987577556,7.36885391907418,5.23469817536438e-40,7.55456319600757e-38
"R0030W",-1.10649475445216,9.12935048549799,1.4209616475308e-39,2.00186430200946e-37
"YJR010W",-1.62039842751765,6.574260460563,1.47316334011565e-39,2.02714127522426e-37
"YDR399W",1.71710996718875,7.3555617851319,6.32605492447649e-39,8.50710613366532e-37
"YOR273C",1.73064694073324,7.7963398698885,2.67729457608505e-38,3.52034489037672e-36
"YPR124W",1.09510627688685,8.40274457469676,2.93924737031029e-38,3.78076667176652e-36
